,Movie Title,Released Year,Runtime,IMDB Rating,Director,Genre,Stars
46,Contratiempo,2016,106 min,8.1,Oriol Paulo,"Crime, Drama","Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie"
47,Cool Hand Luke,1967,127 min,8.1,Stuart Rosenberg,"Crime, Drama","Paul Newman, George Kennedy, Strother Martin, J.D. Cannon"
48,"Crna macka, beli macor",1998,127 min,8.1,Emir Kusturica,"Comedy, Crime","Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini"
49,Dangal,2016,161 min,8.4,Nitesh Tiwari,Drama,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
50,Das Boot,1981,149 min,8.3,Wolfgang Petersen,Drama,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch"
51,Dead Poets Society,1989,128 min,8.1,Peter Weir,"Comedy, Drama","Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles"
52,Der Untergang,2004,156 min,8.2,Oliver Hirschbiegel,Drama,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler"
53,Det sjunde inseglet,1957,96 min,8.2,Ingmar Bergman,Drama,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe"
54,Dial M for Murder,1954,105 min,8.2,Alfred Hitchcock,Crime,"Ray Milland, Grace Kelly, Robert Cummings, John Williams"
55,Dil Chahta Hai,2001,183 min,8.1,Farhan Akhtar,"Comedy, Drama","Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta"
56,Dilwale Dulhania Le Jayenge,1995,189 min,8.1,Aditya Chopra,Drama,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal"
57,Django Unchained,2012,165 min,8.4,Quentin Tarantino,Drama,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
58,Dom za vesanje,1988,142 min,8.2,Emir Kusturica,"Comedy, Crime, Drama","Davor Dujmovic, Bora Todorovic, Ljubica Adzovic, Husnija Hasimovic"
59,Double Indemnity,1944,107 min,8.3,Billy Wilder,"Crime, Drama","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr"
60,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,8.4,Stanley Kubrick,Comedy,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"
61,Drishyam,2013,160 min,8.3,Jeethu Joseph,"Crime, Drama","Mohanlal, Meena, Asha Sharath, Ansiba"
62,Drishyam,2015,163 min,8.2,Nishikant Kamat,"Crime, Drama","Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
63,Du rififi chez les hommes,1955,118 min,8.2,Jules Dassin,"Crime, Drama","Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey"
64,Dà hóng denglong gaogao guà,1991,125 min,8.1,Yimou Zhang,Drama,"Gong Li, Jingwu Ma, Saifei He, Cuifen Cao"
65,El secreto de sus ojos,2009,129 min,8.2,Juan José Campanella,Drama,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo"
66,El ángel exterminador,1962,95 min,8.1,Luis Buñuel,Drama,"Silvia Pinal, Jacqueline Andere, Enrique Rambal, José Baviera"
67,Eskiya,1996,128 min,8.2,Yavuz Turgul,"Crime, Drama","Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim"
68,Eternal Sunshine of the Spotless Mind,2004,108 min,8.3,Michel Gondry,Drama,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne"
69,Fa yeung nin wah,2000,98 min,8.1,Kar-Wai Wong,Drama,"Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu, Tung Cho 'Joe' Cheung"
70,Fanny och Alexander,1982,188 min,8.1,Ingmar Bergman,Drama,"Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt"
71,Fargo,1996,98 min,8.1,Joel Coen,"Crime, Drama","Ethan Coen, William H. Macy, Frances McDormand, Steve Buscemi"
72,Fight Club,1999,139 min,8.8,David Fincher,Drama,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
73,Finding Nemo,2003,100 min,8.1,Andrew Stanton,Comedy,"Lee Unkrich, Albert Brooks, Ellen DeGeneres, Alexander Gould"
74,Fitzcarraldo,1982,158 min,8.1,Werner Herzog,Drama,"Klaus Kinski, Claudia Cardinale, José Lewgoy, Miguel Ángel Fuentes"
75,Ford v Ferrari,2019,152 min,8.1,James Mangold,Drama,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe"
76,Forrest Gump,1994,142 min,8.8,Robert Zemeckis,Drama,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
77,Full Metal Jacket,1987,116 min,8.3,Stanley Kubrick,Drama,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
78,Gangs of Wasseypur,2012,321 min,8.2,Anurag Kashyap,"Comedy, Crime","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia"
79,Gisaengchung,2019,132 min,8.6,Bong Joon Ho,"Comedy, Drama","Kang-ho Song, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik"
80,Gladiator,2000,155 min,8.5,Ridley Scott,Drama,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
81,Gone Girl,2014,149 min,8.1,David Fincher,Drama,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
82,Gone with the Wind,1939,238 min,8.1,Victor Fleming,Drama,"George Cukor, Sam Wood, Clark Gable, Vivien Leigh"
83,Good Will Hunting,1997,126 min,8.3,Gus Van Sant,Drama,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård"
84,Goodfellas,1990,146 min,8.7,Martin Scorsese,"Crime, Drama","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
85,Gran Torino,2008,116 min,8.1,Clint Eastwood,Drama,"Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her"
86,Green Book,2018,130 min,8.2,Peter Farrelly,"Comedy, Drama","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
87,Hachi: A Dog's Tale,2009,93 min,8.1,Lasse Hallström,Drama,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer"
88,Hacksaw Ridge,2016,139 min,8.1,Mel Gibson,Drama,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
